3	-12.946236	3.854678	-4.271499	15.700552
4	0.647008	3.093585	-6.307098	5.949255
1	4.628732	10.041835	3.839848	4.472651
4	-2.911252	-3.034133	-8.783468	4.048373
3	-7.150188	2.763507	-7.147421	6.200647
0	-6.789686	-2.580536	-12.417438	0.291438
0	-5.595958	-1.388478	-9.512230	3.019585
0	-1.926972	-0.110432	-15.738014	2.108062
1	-0.188911	14.709885	4.423678	7.908106
1	5.642478	12.804380	7.638363	2.131347
2	-9.398883	9.510990	-6.802872	10.788832
4	3.477999	-2.324883	-8.738459	-1.822605
1	2.828599	10.484574	5.748752	-0.013115
1	0.626031	9.809881	7.575573	1.640962
6	-13.523525	-10.071618	2.660640	-17.905552
2	-9.922287	11.776403	-9.701882	6.640317
0	-0.368761	3.255838	-13.095051	5.108061
3	-9.805045	3.576808	-8.257352	14.336042
1	-2.825074	12.537702	5.707705	4.017610
5	-2.279485	-2.771408	-2.180966	-5.957590
2	-16.243992	14.222713	-14.056147	7.006455
2	-9.150161	11.573929	-20.167400	13.042626
2	-8.425323	15.136067	-6.186580	10.774743
6	-17.204310	-7.967436	0.036987	-14.776804
1	1.873127	11.710122	6.350729	4.227052
6	-16.554665	-14.100978	2.319608	-9.986863
1	-9.300032	8.003062	3.813429	4.241127
1	2.009151	18.017394	4.180600	6.376719
6	-9.088711	-15.526945	8.694811	-13.258568
6	-11.907154	-10.969376	3.590797	-19.327231
0	-5.300693	-1.683500	-14.543450	4.062154
5	-6.113396	-3.479093	1.722873	-12.372611
1	-2.790880	15.388856	3.171232	2.760791
1	1.764570	16.680217	0.462519	3.366390
5	-6.135931	-10.581195	-1.836519	-2.663675
3	-15.854416	7.704524	-11.928790	9.675646
5	-3.258921	-1.694287	0.334900	-5.607812
0	-1.266451	0.391484	-9.506602	1.611129
2	-10.406200	16.273200	-7.353237	13.349597
4	-3.273117	-0.217796	-10.261978	6.475035
1	3.587280	9.591314	4.144768	7.935751
6	-10.913574	-13.848724	3.131832	-17.083595
1	5.381504	7.889945	10.111425	5.889399
3	-14.485643	3.217560	-14.185594	12.865635
4	-1.291189	-3.468841	-13.181004	7.213038
0	-0.685672	-6.181521	-5.946834	9.771409
