6	15.887421	-7.583195	3.985409
4	-7.985783	11.387315	-21.450385
6	16.043085	-10.245968	7.458986
2	-1.767821	-5.271890	-11.749787
2	0.040436	-10.022197	-1.975075
3	12.383222	-0.851706	-12.964377
3	12.556174	-7.795786	-14.115128
6	14.602900	-6.556008	7.158822
4	-5.337083	9.544900	-16.690808
1	1.714490	3.214775	6.294320
4	-6.572651	9.049189	-24.891294
4	-9.002080	8.879680	-20.074072
0	-9.197732	-4.718432	-4.441443
6	18.123971	-9.306383	4.890832
0	-0.247053	-2.663929	0.136487
1	-2.254690	-2.901990	5.155724
2	-2.943263	-6.817729	-9.084354
1	-3.873322	-2.560668	2.082619
6	13.009585	-9.224042	1.212462
5	-0.964818	-15.464138	0.999151
6	10.219696	-10.372831	2.943700
4	-5.128751	6.847269	-19.559906
4	-3.815148	21.498319	-16.629620
0	-6.554582	-7.133466	1.265569
6	15.846481	-4.988684	2.655298
1	-0.272544	4.799458	2.280000
5	-8.309192	-9.123621	-4.615778
4	-5.398438	5.810562	-17.518277
2	-4.625800	-8.084573	-12.762283
4	-4.440730	12.927017	-22.434381
2	0.381594	-3.939935	-17.429859
0	-2.710627	1.683274	2.387114
6	16.273544	-8.362166	7.072023
6	12.815298	-6.003372	3.806964
4	-13.880340	14.164656	-23.269905
4	-9.192381	16.752393	-22.444316
0	-1.072879	-2.655313	-0.423467
1	-3.165174	4.330745	5.122592
1	1.256780	1.624880	5.621018
2	1.368620	-2.685399	-6.950044
6	11.572427	-3.139568	-0.257014
6	15.503303	-6.895416	7.108372
1	-2.211689	3.962474	1.641104
2	3.927459	-5.222618	-9.992033
5	-4.881367	-16.545985	-2.838689
1	-1.289053	2.567050	2.090917
4	-2.364567	14.318144	-24.157357
0	-6.677956	-5.866201	1.978717
6	10.527832	-9.716484	-2.854678
6	14.651672	-7.186519	-0.412955
3	14.509692	-6.607819	-11.670557
3	15.622688	-0.463967	-17.666475
2	0.461710	-9.336025	-8.659147
5	-4.697532	-9.064554	-1.772378
1	0.988833	-1.486174	3.864634
4	-6.647293	11.369412	-24.891066
5	-5.751458	-10.356097	-4.082861
3	10.445440	-4.059393	-15.700283
6	10.544146	-4.858198	2.014190
4	-5.445783	15.439573	-27.677988
5	-2.477717	-12.775937	-1.922006
3	17.331208	-0.430310	-11.400789
5	-4.289900	-14.473033	1.972289
3	19.375219	-4.429559	-6.911539
5	-3.156845	-9.920121	-3.652246
6	16.346763	-5.407227	5.513170
3	9.347342	-4.160430	-8.642996
6	19.048840	-5.887973	7.760212
3	12.558306	-10.529337	-15.857161
0	-0.033744	-3.940713	0.564277
2	-0.653208	-8.960216	-9.868632
0	-3.249121	5.340560	1.225820
4	-12.800303	16.686159	-22.543811
0	-5.184370	-1.718080	1.400024
4	-10.948157	15.514150	-23.550550
3	14.318570	-1.391984	-9.725273
6	18.118707	-12.276033	1.666962
1	1.004270	0.886585	0.116905
